,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
402908,6.0,19.13671875,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,131.57894736842104
402910,6.0,27.28515625,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402911,6.0,18.96258503,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,,,2.0,26.31578947368421
402912,6.0,23.0494185,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0
402913,6.0,22.63377825,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
402914,6.0,18.94483611,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,6.0,2.0,105.26315789473684
402915,6.0,25.52371884,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,,4.0,2.0,78.94736842105263
402916,6.0,31.89453125,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,5.0,1.0,4.0,5.0,2.0,0.0
402918,6.0,30.04629455,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,MM,2017,3.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,7.0,1.0,78.94736842105263
402919,6.0,21.19031142,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,0.0
402920,6.0,35.31487889,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,1.0,,6.0,2.0,26.31578947368421
402921,6.0,37.30090028,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,MM,2017,2.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,3.0,4.0,,4.0,2.0,263.1578947368421
402922,6.0,20.24422897,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402924,6.0,32.85327784,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,263.1578947368421
402925,6.0,30.3622865,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,,6.0,2.0,78.94736842105263
402926,6.0,26.15977961,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0,131.57894736842104
402927,6.0,24.8046875,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,342.10526315789474
402928,6.0,35.8538146,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402929,6.0,25.76169419,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,2.0,3.0,5.0,2.0,105.26315789473684
402930,6.0,22.6796875,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,26.31578947368421
402931,6.0,21.97534164,4.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,MM,2017,5.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,3.0,3.0,5.0,3.0,2.0,210.52631578947367
402932,6.0,21.0859375,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,MM,2017,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,7.0,1.0,0.0
402933,6.0,23.92389144,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,6.0,2.0,26.31578947368421
402935,6.0,18.78125,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,0.0
402936,6.0,21.97231834,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,1.0,26.31578947368421
402937,6.0,22.57617729,4.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,1.0,MM,2017,,1.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,,1.0,2.0,1.0,2.0,3.0,,,2.0,263.1578947368421
402938,6.0,28.07306094,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,7.0,2.0,26.31578947368421
402939,6.0,30.3622865,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,105.26315789473684
402940,6.0,18.99357208,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,,1.0,5.0,1.0,1.0,7.0,2.0,0.0
402941,6.0,30.20214031,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,157.89473684210526
402942,6.0,30.12109375,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,26.31578947368421
402943,6.0,27.8203125,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
402944,6.0,18.82828283,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0,4.0,4.0,5.0,2.0,289.4736842105263
402945,6.0,26.29003726,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,210.52631578947367
402946,6.0,21.144641,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,5.0,2.0,4.0,5.0,2.0,131.57894736842104
402947,6.0,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,MM,2017,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,52.63157894736842
402948,6.0,18.18637442,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,210.52631578947367
402949,6.0,25.32598714,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,78.94736842105263
402950,6.0,19.99265381,4.0,1.0,,1.0,2.0,3.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,,,2.0,184.21052631578945
402951,6.0,20.60935535,4.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,1.0,MM,2017,5.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,,5.0,2.0,447.36842105263156
402952,6.0,20.89356576,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,26.31578947368421
402953,6.0,22.08203173,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,131.57894736842104
402954,6.0,26.46317137,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402955,6.0,,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,105.26315789473684
402956,6.0,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
402957,6.0,19.69248245,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,MM,2017,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,263.1578947368421
402958,6.0,19.13671875,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,131.57894736842104
402959,6.0,26.13087752,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,,6.0,2.0,0.0
402960,6.0,22.77527701,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402961,6.0,26.65932048,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,131.57894736842104
402962,6.0,,4.0,1.0,1.0,2.0,2.0,2.0,1.0,,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0,1.0,2.0,7.0,2.0,26.31578947368421
402963,6.0,31.41447368,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,,,2.0,184.21052631578945
402964,6.0,,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,26.31578947368421
402965,6.0,,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,78.94736842105263
402966,6.0,23.00296158,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,MM,2017,4.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,5.0,1.0,3.0,5.0,2.0,263.1578947368421
402967,6.0,16.83203125,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,0.0
402968,6.0,23.38754325,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,78.94736842105263
402969,6.0,27.56711759,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
402970,6.0,25.20994767,4.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,1.0,MM,2017,5.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,5.0,2.0,1.0,5.0,1.0,4.0,5.0,2.0,263.1578947368421
402971,6.0,28.02222222,3.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,78.94736842105263
402972,6.0,17.03183673,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,MM,2017,5.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,2.0,52.63157894736842
402973,6.0,21.39889197,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,4.0,3.0,2.0,5.0,2.0,157.89473684210526
402975,6.0,18.9609375,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,MM,2017,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402976,6.0,31.3241506,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,MM,2017,7.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,,1.0,3.0,2.0,2.0,2.0,1.0,157.89473684210526
402977,6.0,20.57114512,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
402978,6.0,22.4955366,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402979,6.0,26.99829932,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,,7.0,2.0,0.0
402980,6.0,20.4617595,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,210.52631578947367
402981,6.0,16.56050955,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402982,6.0,18.78128646,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,78.94736842105263
402985,6.0,20.08928571,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,6.0,2.0,131.57894736842104
402986,6.0,20.82644628,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
402987,6.0,25.00584717,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0,131.57894736842104
402988,6.0,24.01384083,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,MM,2017,5.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0,3.0,5.0,2.0,131.57894736842104
402989,6.0,25.11418685,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,5.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,26.31578947368421
402990,6.0,25.71570295,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,MM,2017,5.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,1.0,0.0
402991,6.0,18.83391003,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,MM,2017,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,7.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0,52.63157894736842
402992,6.0,18.32874197,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,6.0,2.0,26.31578947368421
402993,6.0,19.50586231,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402995,6.0,17.89453125,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,26.31578947368421
402996,6.0,26.36678201,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,6.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
402997,6.0,21.00934903,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,4.0,1.0,2.0,6.0,2.0,289.4736842105263
402998,6.0,20.02683518,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,6.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0
402999,6.0,20.375,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,6.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,0.0
403000,6.0,22.82460973,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
403001,6.0,18.32874197,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,1.0,1.0,,1.0,26.31578947368421
403002,6.0,38.4131883,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,4.0,2.0,2.0,5.0,1.0,184.21052631578945
403003,6.0,21.6171875,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,7.0,6.0,2.0,1.0,4.0,1.0,3.0,6.0,2.0,26.31578947368421
403004,6.0,18.50156087,3.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,MM,2017,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,5.0,1.0,1.0,4.0,3.0,2.0,5.0,1.0,157.89473684210526
403005,6.0,28.70704694,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,3.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0
403006,6.0,22.45121506,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0
403007,6.0,19.49311295,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,MM,2017,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,368.4210526315789
403008,6.0,20.20395421,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,MM,2017,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0
403009,6.0,20.29938272,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,MM,2017,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,,2.0,210.52631578947367
403010,6.0,20.77003122,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,MM,2017,7.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,,2.0,26.31578947368421
403011,6.0,28.33786361,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,MM,2017,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,4.0,1.0,,6.0,2.0,78.94736842105263
