,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
387658,3.0,,1.0,,,2.0,2.0,1.0,2.0,,2.0,2.0,CE,2017,4.0,,2.0,1.0,1.0,3.0,1.0,2.0,,,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,131.57894736842104
387660,3.0,25.00584717,1.0,,,1.0,2.0,1.0,2.0,1.0,,2.0,CE,2017,7.0,,1.0,1.0,,4.0,1.0,2.0,,,1.0,7.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387661,3.0,20.29938272,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,3.0,2.0,3.0,1.0,2.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,210.52631578947367
387662,3.0,18.49042734,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,1.0,,1.0,4.0,1.0,3.0,2.0,2.0,,,1.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,,,210.52631578947367
387663,3.0,32.92829188,1.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,4.0,3.0,2.0,,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,,78.94736842105263
387664,3.0,22.08203173,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,2.0,2.0,4.0,2.0,,,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,,26.31578947368421
387665,3.0,18.43878204,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387666,3.0,20.375,1.0,,,1.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,,289.4736842105263
387667,3.0,15.57526352,1.0,,,2.0,2.0,3.0,2.0,2.0,4.0,2.0,CE,2017,,,1.0,1.0,3.0,,,2.0,,,1.0,,3.0,2.0,1.0,1.0,2.0,,2.0,,289.4736842105263
387668,3.0,,1.0,,,1.0,1.0,1.0,2.0,,3.0,2.0,CE,2017,7.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,7.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,,78.94736842105263
387669,3.0,17.67998866,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,,,1.0,1.0,1.0,3.0,,2.0,,,1.0,,1.0,2.0,1.0,5.0,1.0,1.0,5.0,,0.0
387670,3.0,21.21687995,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,3.0,4.0,2.0,,,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,78.94736842105263
387671,3.0,20.75811135,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,6.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387672,3.0,21.71284839,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0,,26.31578947368421
387673,3.0,18.95836735,,,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,CE,2017,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,157.89473684210526
387674,3.0,33.79693207,1.0,,,1.0,1.0,1.0,1.0,2.0,,2.0,CE,2017,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,131.57894736842104
387675,3.0,22.53754375,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,2.0,3.0,1.0,2.0,,,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,,,78.94736842105263
387676,3.0,25.34086605,,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,CE,2017,4.0,,,1.0,3.0,4.0,3.0,2.0,,,1.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,,26.31578947368421
387677,3.0,,1.0,,,2.0,2.0,1.0,2.0,,1.0,2.0,CE,2017,2.0,,1.0,1.0,3.0,3.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387678,3.0,15.53690391,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,,,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387679,3.0,18.51428571,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,,,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,2.0,2.0,5.0,1.0,1.0,1.0,,0.0
387682,3.0,24.62441611,1.0,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,131.57894736842104
387683,3.0,28.16816591,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,CE,2017,7.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,7.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387684,3.0,,1.0,,,1.0,1.0,1.0,2.0,,2.0,2.0,CE,2017,2.0,,3.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387685,3.0,,1.0,,,2.0,2.0,1.0,1.0,,2.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387686,3.0,,1.0,,,2.0,2.0,1.0,2.0,,3.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387687,3.0,25.00584717,1.0,,,1.0,2.0,3.0,1.0,1.0,2.0,2.0,CE,2017,5.0,,1.0,1.0,4.0,5.0,2.0,2.0,,,1.0,,2.0,2.0,5.0,2.0,1.0,,,,263.1578947368421
387688,3.0,17.23009496,1.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,3.0,3.0,2.0,2.0,,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,157.89473684210526
387689,3.0,28.98563707,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,4.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
